                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6409,                 2.9639,                   1.85,                0.01336,                0.52778,                0.13692,                 0.0571,                 2.7655,                 3.4151,                  2.544,              0.0004065,              0.0004065,              0.0004065
                      2,                 1.6188,                 2.2545,                 1.8002,                0.83458,                0.19444,                0.35713,                0.16593,                 2.2322,                 2.6234,                  2.564,             0.00079601,             0.00079601,             0.00079601
                      3,                 1.6722,                 2.1114,                 1.8096,                0.04419,                0.46244,                0.04728,                0.01949,                 2.5993,                 26.979,                 3.1019,               0.001158,               0.001158,               0.001158
                      4,                 1.5812,                 1.9863,                 1.7569,                0.08239,                0.42555,                0.11236,                0.02835,                  2.659,                 9.5264,                 2.7984,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.5051,                  1.871,                 1.6787,                 0.1783,                0.33333,                 0.1996,                0.09622,                 2.2768,                 4.3713,                 2.0659,               0.001085,               0.001085,               0.001085
                      6,                 1.4199,                 1.7289,                 1.6182,                0.68483,                0.43972,                0.46684,                0.24021,                 2.0297,                 2.7287,                 2.1908,              0.0010438,              0.0010438,              0.0010438
                      7,                 1.3923,                 1.6456,                 1.6038,                0.28579,                0.67876,                0.41234,                0.23747,                 1.7076,                 2.6811,                 1.7049,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.3577,                  1.619,                 1.5727,                 0.5559,                0.69444,                0.57971,                 0.3004,                 1.8027,                 1.9731,                 1.8266,             0.00096125,             0.00096125,             0.00096125
                      9,                 1.3114,                 1.4919,                 1.5247,                0.78513,                0.66667,                 0.6893,                0.40242,                 1.6834,                 1.6667,                 1.7139,                0.00092,                0.00092,                0.00092
                     10,                 1.3001,                 1.4663,                 1.5184,                0.76019,                0.53807,                0.58586,                0.36103,                 1.5327,                 1.8201,                 1.5067,             0.00087875,             0.00087875,             0.00087875
                     11,                 1.2528,                 1.4122,                 1.4744,                 0.3803,                0.47222,                0.46036,                0.23167,                 1.8887,                  2.147,                 1.8154,              0.0008375,              0.0008375,              0.0008375
                     12,                 1.1723,                 1.3233,                 1.4365,                0.66115,                0.72222,                0.68777,                0.43604,                 1.3342,                  1.425,                 1.4581,             0.00079625,             0.00079625,             0.00079625
                     13,                 1.1883,                  1.325,                 1.4365,                0.68902,                0.69444,                0.70612,                0.42546,                 1.3912,                 1.4463,                 1.3957,               0.000755,               0.000755,               0.000755
                     14,                   1.14,                 1.2454,                 1.3943,                0.65288,                0.72222,                0.69316,                 0.4452,                 1.4383,                 1.4589,                 1.3635,             0.00071375,             0.00071375,             0.00071375
                     15,                 1.1538,                  1.214,                 1.4089,                0.82949,                0.72181,                0.76036,                0.53413,                 1.2636,                 1.2493,                 1.2842,              0.0006725,              0.0006725,              0.0006725
                     16,                  1.081,                 1.1584,                 1.3687,                0.74331,                0.35841,                0.53537,                0.30556,                 1.5998,                 2.0063,                 1.5743,             0.00063125,             0.00063125,             0.00063125
                     17,                 1.1023,                 1.1519,                   1.38,                0.75139,                0.72222,                0.71706,                0.47007,                 1.2141,                 1.3307,                 1.2661,                0.00059,                0.00059,                0.00059
                     18,                 1.0615,                 1.1321,                 1.3397,                0.74794,                0.72222,                0.71671,                0.51137,                  1.212,                 1.1601,                 1.2818,             0.00054875,             0.00054875,             0.00054875
                     19,                 1.0378,                  1.075,                 1.3243,                0.82775,                0.63495,                0.73157,                0.48423,                 1.4027,                 1.5461,                 1.4822,              0.0005075,              0.0005075,              0.0005075
                     20,                 1.0189,                 1.0513,                 1.3153,                0.65182,                0.72222,                0.73173,                0.51132,                  1.196,                 1.1653,                 1.2234,             0.00046625,             0.00046625,             0.00046625
                     21,                 1.1832,                   1.25,                 1.4672,                0.65517,                0.72222,                0.68164,                0.47342,                 1.2317,                 1.2796,                 1.2595,               0.000425,               0.000425,               0.000425
                     22,                 1.1015,                 1.1468,                 1.4124,                0.63255,                0.86111,                0.74315,                0.48071,                   1.27,                 1.1531,                 1.3165,             0.00038375,             0.00038375,             0.00038375
                     23,                  1.087,                 1.0803,                 1.3855,                0.86269,                 0.6937,                0.76661,                0.49917,                 1.1706,                 1.0675,                 1.3633,              0.0003425,              0.0003425,              0.0003425
                     24,                 1.0762,                 1.0864,                 1.3801,                0.85164,                 0.6557,                0.75292,                0.55931,                 1.1195,                0.96065,                 1.3116,             0.00030125,             0.00030125,             0.00030125
                     25,                  1.022,                0.99515,                 1.3454,                0.77484,                0.77778,                0.79547,                0.56433,                 1.1499,                0.98741,                 1.2472,                0.00026,                0.00026,                0.00026
                     26,                0.97132,                0.97877,                 1.3127,                0.88929,                0.69852,                0.85321,                0.57186,                 1.1311,                0.91728,                 1.2314,             0.00021875,             0.00021875,             0.00021875
                     27,                 0.9834,                0.95172,                 1.3034,                0.84736,                   0.75,                0.78496,                0.55802,                 1.1526,                0.98591,                 1.1855,              0.0001775,              0.0001775,              0.0001775
                     28,                0.92837,                0.91923,                 1.2781,                 0.8273,                0.82153,                0.84233,                0.61323,                 1.0127,                 0.8836,                  1.116,             0.00013625,             0.00013625,             0.00013625
                     29,                0.90625,                0.89163,                 1.2443,                0.82866,                0.82797,                 0.8239,                0.61035,                 1.0389,                 0.9128,                 1.1339,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.88969,                0.86809,                 1.2259,                0.80617,                0.80556,                0.81238,                0.61094,                 1.0188,                0.88428,                 1.1534,              5.375e-05,              5.375e-05,              5.375e-05
