                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0418,                 4.8576,                 1.4714,                 0.9533,                0.04545,                 0.0851,                0.06961,                 1.9258,                 4.3831,                 1.2753,              2.104e-05,              2.104e-05,              2.104e-05
                      2,                 1.8457,                 3.9626,                 1.3905,                0.81184,                 0.0917,                0.13794,                0.10474,                 1.6867,                 3.1839,                 1.1261,             4.3235e-05,             4.3235e-05,             4.3235e-05
                      3,                 1.5722,                 3.0308,                 1.2164,                0.77956,                 0.1298,                0.15309,                0.11295,                 1.4913,                 2.4705,                 1.0378,             6.3867e-05,             6.3867e-05,             6.3867e-05
                      4,                 1.4259,                 2.4097,                  1.126,                0.58294,                0.23214,                0.29531,                0.21907,                 1.4573,                 2.1894,                 1.0343,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      5,                 1.3835,                 2.2807,                 1.1421,                0.56935,                0.33473,                0.29601,                0.21805,                 1.4886,                 1.8727,                 1.0471,             0.00010044,             0.00010044,             0.00010044
                      6,                 1.3707,                 2.0084,                 1.0888,                0.36677,                0.42989,                0.37469,                0.25866,                  1.479,                 1.9357,                 1.0395,             0.00011639,             0.00011639,             0.00011639
                      7,                 1.3017,                 1.8038,                 1.1141,                0.44855,                0.54425,                0.47583,                0.32102,                 1.4722,                 1.5492,                 1.0585,             0.00013077,             0.00013077,             0.00013077
                      8,                 1.2953,                 1.6757,                 1.0964,                0.59575,                0.58976,                0.61347,                0.40759,                  1.468,                 1.4082,                 1.0454,              0.0001436,              0.0001436,              0.0001436
                      9,                 1.3008,                 1.5786,                 1.0852,                0.70652,                0.51553,                0.65011,                0.43444,                 1.4045,                 1.2103,                 1.0163,             0.00015485,             0.00015485,             0.00015485
                     10,                 1.2732,                 1.4889,                 1.0671,                0.47975,                0.65301,                0.63865,                0.39764,                 1.3794,                 1.2764,                 1.0055,             0.00016455,             0.00016455,             0.00016455
                     11,                 1.2216,                 1.3805,                 1.0463,                0.56455,                0.67168,                0.66072,                0.42698,                 1.3858,                  1.035,                 1.0093,             0.00017269,             0.00017269,             0.00017269
                     12,                 1.2306,                 1.2368,                 1.0221,                0.50135,                0.80772,                0.71334,                0.47673,                 1.3664,                0.99657,                0.99673,             0.00016753,             0.00016753,             0.00016753
                     13,                 1.2116,                 1.1707,                 1.0147,                0.64247,                0.67894,                0.74167,                0.47927,                 1.3624,                 1.0547,                0.98925,             0.00015885,             0.00015885,             0.00015885
                     14,                 1.1974,                 1.1565,                 1.0344,                0.58813,                0.72639,                0.71759,                0.46341,                 1.3414,                 1.0257,                0.99386,             0.00015017,             0.00015017,             0.00015017
                     15,                 1.1142,                 1.1502,                 1.0146,                0.56532,                0.71432,                0.71557,                 0.4561,                 1.3535,                 0.9947,                 0.9993,             0.00014149,             0.00014149,             0.00014149
                     16,                 1.1632,                 1.0368,                 1.0156,                0.66048,                0.68044,                0.71309,                0.46144,                 1.3437,                 1.0071,                0.99819,             0.00013281,             0.00013281,             0.00013281
                     17,                 1.1549,                 1.0989,                 1.0065,                0.75619,                0.63995,                0.71701,                0.44868,                 1.3272,                0.94831,                 0.9944,             0.00012414,             0.00012414,             0.00012414
                     18,                 1.1756,                 1.0295,                 1.0231,                0.67579,                0.70008,                0.73251,                0.45774,                 1.3508,                0.91554,                0.99631,             0.00011546,             0.00011546,             0.00011546
                     19,                 1.1356,                 1.0089,                0.99891,                0.64392,                0.72421,                0.75917,                0.48397,                  1.388,                0.88222,                 1.0074,             0.00010678,             0.00010678,             0.00010678
                     20,                 1.1247,                0.92749,                0.99732,                0.66702,                0.72761,                0.77395,                0.49437,                 1.3759,                0.85094,                 1.0125,             9.8099e-05,             9.8099e-05,             9.8099e-05
                     21,                 1.1577,                 1.0436,                 1.0162,                 0.7131,                0.71916,                0.80677,                0.53061,                 1.3611,                0.81701,                  1.009,              8.942e-05,              8.942e-05,              8.942e-05
                     22,                 1.1423,                0.95866,                 1.0372,                 0.6716,                0.71912,                0.80852,                0.53331,                 1.3646,                0.83061,                 1.0131,             8.0741e-05,             8.0741e-05,             8.0741e-05
                     23,                 1.1174,                 1.0095,                 1.0084,                0.68428,                0.76413,                0.80669,                0.53746,                 1.3565,                0.82584,                 1.0101,             7.2062e-05,             7.2062e-05,             7.2062e-05
                     24,                 1.0733,                 0.9642,                0.98861,                0.71119,                0.74019,                0.80564,                0.54275,                 1.3514,                0.79895,                 1.0094,             6.3383e-05,             6.3383e-05,             6.3383e-05
                     25,                  1.107,                0.91556,                0.98776,                0.68097,                0.77168,                0.80262,                0.54019,                 1.3412,                0.77623,                 1.0073,             5.4704e-05,             5.4704e-05,             5.4704e-05
                     26,                  1.095,                0.88956,                 1.0142,                0.67112,                0.77493,                0.79943,                0.53935,                 1.3398,                0.75306,                 1.0084,             4.6025e-05,             4.6025e-05,             4.6025e-05
                     27,                 1.0809,                0.86405,                0.99928,                0.80748,                0.71452,                0.79961,                0.54026,                 1.3391,                0.75008,                 1.0115,             3.7346e-05,             3.7346e-05,             3.7346e-05
                     28,                 1.0582,                0.88872,                  1.022,                0.68241,                0.77512,                0.80071,                0.53734,                 1.3459,                0.75205,                 1.0133,             2.8667e-05,             2.8667e-05,             2.8667e-05
                     29,                 1.0545,                0.82598,                0.98384,                0.68918,                0.76437,                0.80163,                0.53371,                 1.3521,                0.74768,                 1.0144,             1.9988e-05,             1.9988e-05,             1.9988e-05
                     30,                 1.0424,                0.78536,                0.96393,                0.69937,                0.76188,                0.80245,                 0.5312,                 1.3599,                0.74488,                  1.017,             1.1309e-05,             1.1309e-05,             1.1309e-05
